"","to","from","from_gdp","to_gdp","domestic","km","value","from_pop","to_pop"
"186","MB","CO",527898.67284,69243.2,0,1281.95010003141,117277622,5773714,1342153
"188","MB","NH",116592.31458,69243.2,0,2175.76119946141,25996255,1377529,1342153
"190","NB","DE",104440.96245,34495.1,0,1095.80158606549,92432246,989948,775610
"191","NB","OK",273331.71363,34495.1,0,2836.13654466978,10778616,3959353,775610
"192","NB","AK",72381.86424,34495.1,0,5306.92820710118,964448,733391,775610
"193","NB","NL",33159.5,34495.1,1,927.67809102111,219764000,510550,775610
"194","NB","SD",73212.76902,34495.1,0,2589.90957217432,2098747,886667,775610
"195","NB","CA",4071764.74893,34495.1,0,4566.45709799154,46010251,39538223,775610
"196","NB","AZ",498087.34323,34495.1,0,4119.8725271016,3658610,7151502,775610
"197","NB","WI",460310.36754,34495.1,0,1837.63661184394,34874242,5893718,775610
"198","NB","VA",745322.11842,34495.1,0,1348.10750794563,91824726,8631393,775610
"199","NB","MO",444180.04038,34495.1,0,2321.20257006383,52991618,6154913,775610
"200","NB","IL",1188374.02842,34495.1,0,1880.90956448233,66812738,12812508,775610
"201","NB","ON",833628.8,34495.1,1,1141.99122194712,1289260000,14223942,775610
"202","NB","SK",79001.8,34495.1,1,2961.67471529546,61828000,1132505,775610
"203","NB","LA",341675.4231,34495.1,0,2798.02524754622,325592721,4657757,775610
"204","NB","KS",233625.69072,34495.1,0,2635.32810431724,21847381,2937880,775610
"205","NB","NM",137760.0849,34495.1,0,3617.27845710208,257992,2117522,775610
"206","NB","MI",716840.87337,34495.1,0,1497.36969489498,15267754,10077331,775610
"207","NB","PA",1064483.10039,34495.1,0,1099.76479713535,161630366,13002700,775610
"208","NB","WA",807608.92746,34495.1,0,4161.73606395621,19382518,7705281,775610
"209","NB","TN",511961.8077,34495.1,0,2059.35644087441,67855756,6910840,775610
"210","NB","PE",6778.2,34495.1,1,195.475574565766,290289000,154331,775610
"211","NB","AR",175981.17402,34495.1,0,2555.81708655259,9369800,3011524,775610
"212","NB","MN",510657.73038,34495.1,0,2144.62019342057,36173736,5706494,775610
"213","NB","AB",339674.4,34495.1,1,3496.81257728155,471840000,4262635,775610
"214","NB","VT",46123.44207,34495.1,0,591.807304794026,5382952,643077,775610
"215","NB","NS",42703.5,34495.1,1,222.459839234241,488981000,969383,775610
